Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. ЛЯСКОВЕЦ,ВЕЛИКО ТЪРНОВО,43.1051642,25.7161041,43,10,10,2,10,6,6,8,13,19,11,12,12,26,15,19,17,10,9
гр. МАДАН,СМОЛЯН,41.5027225,24.9383983,22,8,9,2,10,10,5,9,5,15,7,7,14,21,22,9,10,5,14
гр. МАДЖАРОВО,ХАСКОВО,41.6343165,25.8590167,2,0,0,0,1,0,2,0,0,1,0,1,1,0,2,1,1,2,0
гр. МАЛКО ТЪРНОВО,БУРГАС,41.9790426,27.5261104,9,2,1,2,0,2,1,1,6,3,3,1,3,6,4,5,3,5,1
гр. МАРТЕН,РУСЕ,43.9207539,26.0820133,2,0,1,0,0,0,1,0,1,2,0,1,1,1,19,10,10,10,6
гр. МЕЗДРА,ВРАЦА,43.1453006,23.709063,50,26,15,10,7,11,6,8,16,20,14,13,18,36,33,25,24,20,25
гр. МЕЛНИК,БЛАГОЕВГРАД,41.5228,23.3927,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,2,1
гр. МЕРИЧЛЕРИ,ХАСКОВО,42.1315352,25.4980677,3,1,1,0,0,0,0,0,0,1,0,1,0,2,2,1,1,0,0
гр. МИЗИЯ,ВРАЦА,43.690,23.857,14,4,3,0,3,1,0,2,3,3,4,5,4,6,10,5,3,3,5
гр. МОМИН ПРОХОД,СОФИЯ-ОБЛАСТ,42.3304,23.8709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2
гр. МОМЧИЛГРАД,КЪРДЖАЛИ,41.5260486,25.4122448,16,9,6,3,2,5,5,5,3,15,13,8,9,24,15,29,16,6,9
гр. МОНТАНА,МОНТАНА,43.4085848,23.2256974,256,160,86,51,62,54,64,70,102,140,98,102,90,185,173,154,104,86,81
гр. МЪГЛИЖ,СТАРА ЗАГОРА,42.6086081,25.5451239,10,3,1,0,3,1,1,4,1,3,4,2,1,6,5,5,1,7,1
гр. НЕДЕЛИНО,СМОЛЯН,41.4552835,25.0807294,24,2,1,1,3,2,3,0,7,14,4,8,4,13,9,16,14,4,16
гр. НЕСЕБЪР,БУРГАС,42.6603497,27.7179353,103,37,20,13,19,18,18,32,56,118,81,69,79,140,143,100,96,88,85
гр. НИКОЛАЕВО,СТАРА ЗАГОРА,42.630091,25.7915938,12,3,2,0,0,0,2,1,0,4,1,0,1,1,2,1,4,3,3
гр. НИКОПОЛ,ПЛЕВЕН,43.7066436,24.8984362,11,2,3,0,1,1,1,0,2,2,0,2,2,6,3,4,3,5,2
гр. НОВА ЗАГОРА,СЛИВЕН,42.4933211,26.0127647,90,43,21,27,22,23,16,22,22,55,24,22,34,55,62,57,54,35,25
гр. НОВИ ИСКЪР,СОФИЯ-ГРАД,42.8217,23.3542,20,8,7,5,6,7,13,3,13,20,18,10,29,46,31,38,23,25,19
гр. НОВИ ПАЗАР,ШУМЕН,43.3450379,27.1925562,76,21,15,11,7,13,9,13,9,30,19,14,21,27,36,35,22,19,14
гр. ОБЗОР,БУРГАС,42.8189115,27.8817126,10,3,1,1,2,0,1,0,2,8,3,8,3,9,11,7,7,4,5
гр. ОМУРТАГ,ТЪРГОВИЩЕ,43.1089497,26.4164105,34,10,9,2,4,2,10,6,14,18,9,7,13,18,16,16,11,8,12
гр. ОПАКА,ТЪРГОВИЩЕ,43.4431021,26.1647415,2,2,0,0,2,0,0,0,0,0,1,1,0,1,6,5,0,2,0
гр. ОРЯХОВО,ВРАЦА,43.73489,23.961388,22,7,5,2,3,4,1,1,6,5,4,4,5,8,6,7,4,3,1
гр. ПАВЕЛ БАНЯ,СТАРА ЗАГОРА,42.5954047,25.2093708,11,3,2,0,2,1,2,1,2,4,2,0,3,7,2,5,5,1,7
гр. ПАВЛИКЕНИ,ВЕЛИКО ТЪРНОВО,43.2381138,25.3071352,134,41,23,18,19,12,17,18,26,21,18,22,22,42,43,39,35,19,18
гр. ПАЗАРДЖИК,ПАЗАРДЖИК,42.1913161,24.3321331,654,288,176,100,86,106,121,92,172,230,176,156,162,303,298,245,196,163,143
гр. ПАНАГЮРИЩЕ,ПАЗАРДЖИК,42.504899,24.188593,65,24,18,9,10,13,20,24,16,49,24,26,20,51,38,36,37,28,28
гр. ПЕРНИК,ПЕРНИК,42.610232,23.0321377,550,183,156,84,65,99,78,81,110,204,130,141,171,298,307,219,189,164,133
гр. ПЕРУЩИЦА,ПЛОВДИВ,42.0576874,24.5468503,11,4,1,0,1,1,3,2,1,3,3,5,1,3,10,12,3,5,2
гр. ПЕТРИЧ,БЛАГОЕВГРАД,41.3981712,23.2069125,274,85,75,33,48,41,41,47,64,92,82,49,86,210,245,240,300,484,472
гр. ПЕЩЕРА,ПАЗАРДЖИК,42.0315529,24.3018122,84,25,16,7,12,10,11,8,20,28,19,22,30,55,42,47,37,23,20
гр. ПИРДОП,СОФИЯ-ОБЛАСТ,42.6998694,24.1815354,45,18,10,3,8,5,9,9,17,18,10,17,16,24,28,23,15,13,15
гр. ПЛАЧКОВЦИ,ГАБРОВО,42.823439,25.4807232,5,1,1,0,0,1,1,2,1,2,2,0,1,4,5,5,5,3,3
гр. ПЛЕВЕН,ПЛЕВЕН,43.4082397,24.6203049,904,413,257,166,202,185,217,218,260,444,287,309,301,551,503,408,364,320,251
гр. ПЛИСКА,ШУМЕН,43.3617285,27.1250106,5,1,0,0,0,0,1,0,0,1,3,2,1,1,2,1,1,2,1
гр. ПЛОВДИВ,ПЛОВДИВ,42.1438409,24.7495615,3601,1473,979,634,555,589,631,667,947,1432,968,1018,1195,2432,2019,1706,1334,1351,1140
гр. ПОЛСКИ ТРЪМБЕШ,ВЕЛИКО ТЪРНОВО,43.3696077,25.6362717,43,7,11,2,4,8,4,1,7,13,9,6,9,15,9,9,8,8,3
гр. ПОМОРИЕ,БУРГАС,42.5560438,27.6418793,75,34,16,8,4,8,11,17,19,54,23,39,39,88,70,52,38,47,47
гр. ПОПОВО,ТЪРГОВИЩЕ,43.3482552,26.2271511,117,38,19,9,9,8,18,17,20,37,17,17,27,53,57,44,38,24,29
гр. ПОРДИМ,ПЛЕВЕН,43.3768076,24.8478808,7,6,3,0,3,4,0,2,4,2,2,2,1,1,0,7,3,1,1
гр. ПРАВЕЦ,СОФИЯ-ОБЛАСТ,42.8949369,23.9162925,44,11,10,2,6,2,2,2,10,10,7,7,10,13,10,21,7,10,7
гр. ПРИМОРСКО,БУРГАС,42.2666277,27.7551781,17,2,5,2,1,3,2,2,7,14,14,5,11,31,23,30,25,28,19
гр. ПРОВАДИЯ,ВАРНА,43.182,27.441,102,28,20,11,13,11,13,11,14,20,24,15,18,40,44,50,28,23,12
